count,hate_speech,offensive_language,neither,class,tweet
3,0,0,3,2,tonight sole purpose thoroughly intoxicate night class maybe deserve
3,0,0,3,2,idea diet eat regular oreos instead double stuft takin half cookie still dip
3,0,1,2,2,trash
3,0,3,0,1,bitch thick bitch ass tv want
3,0,3,0,1,get real hair cut faggot serve country marines year u do
3,1,2,0,1,chillin tho not fuck w hoe hoe niggas not know operate maybe wrong
3,0,0,3,2,oh phone trash know
6,0,0,6,2,favorite dc restaurant charlie palmers
3,1,2,0,1,u get k bitch niggaal haymon antonio tarver
3,0,3,0,1,current emotionbroke ass bitch
3,3,0,0,0,fuck ray rice someone crack bitch
3,0,0,3,2,diaval get pass virtue mostly bird
3,0,3,0,1,nigga get alot bitch go to value like someone else would another one lol cut
3,2,1,0,0,like take niggas hoe stop
3,1,2,0,1,lol not work well black folk past well bring cracker um
3,0,3,0,1,grandmas always b ask girlfriend noi get hoe tf mean real shit
3,0,3,0,1,qtna bitch gon breast feed wit nipple ring
3,1,2,0,1,dat shit crazy nicca use wear dat shit fr
3,0,3,0,1,high bitch bong rips steady smoking gs nigga jorge
3,3,0,0,0,fuck michelle obama monkey not belong white house
6,0,0,6,2,big redskin dam right get stop
3,0,3,0,1,let record song bitch right nowb
3,0,3,0,1,pornandroidiphoneipadsexxxx oldyoung german milf get young old cock pussy
3,0,3,0,1,bitch vagina little resilient
3,3,0,0,0,black bitch not kickin school bitches still comin wit durag still head nd shit
3,0,2,1,1,haha hoe go hard nigga stoooone lol
3,1,0,2,2,lax gun law ur retarded murder bcuz one defend crook gun
3,0,0,3,2,ultimate chocolate chip cookie n oreo fudge brownie bar
6,0,6,0,1,hoe mind fuck hoe time fattrel
3,0,3,0,1,let one dingy real nigger dog catch miss torah not want thot shit
3,1,2,0,1,god drake trash dawg thank ass water
3,0,0,3,2,run differentialsmets yankees
3,0,3,0,1,lmao nigguh
3,0,3,0,1,not let natural hair care shit fool hoe need perm
3,0,1,2,2,republican teabagger hate screw em
3,0,3,0,1,bitch mad mf not know amp get
3,0,0,3,2,happy halloween rick james aka swaggy charlie murphy haha darkness everybody
3,2,1,0,0,fucking faggot
3,0,1,2,2,poont get to trash
3,0,3,0,1,bbl go to go sob gay bird baby
3,0,0,3,2,far tell coon track cab door window tractor park tree away home
3,0,1,2,2,vermontgirlsbelike hick accent come get around family vermontproblem
6,1,2,3,2,republicans not racist america racist democrats not play token negro card
3,0,1,2,2,nip cold
3,0,0,3,2,another season retweete every one yankee tweet
3,0,2,1,1,earthdaynoaa da colored folk allow join cuz hood folk worry da watermelon growin da chicken small
3,0,0,3,2,yea buddy lot nba trash talk go
3,1,2,0,1,still can not see nigger see white hoe not everrrrrr
3,0,3,0,1,scroll tl ol sick ass bitch
3,0,3,0,1,emotional shit absolutely bird
3,0,3,0,1,get private track public soundcloud needa finish joint sick em hoe
3,0,0,3,2,take picture see bird fly past like oh bird
3,2,1,0,0,bald head bitch think time prosper
6,1,5,0,1,bitch niggas pay hoe lay hoe relax one night pay stay hoe
3,1,2,0,1,not care gay yeent bout call bitch fish think shit sweet not even like girl
3,0,3,0,1,ai not meet bitch yet could compete
3,0,2,1,1,experience charlie married woman love hot phone sex stranger get
3,2,1,0,0,eva ask nicca dey get sum fake designer frm
3,1,2,0,1,everyone say letsmakeitawkward queer justmadeitawkward
3,0,3,0,1,shut bitch
3,0,0,3,2,hate profile country hick eric dean vestal make happy anything else
3,0,0,3,2,last think bed mock election rd grade vote perot maybe relate really big ear idk
3,2,1,0,0,hoe lie we nigga get news monogamous niggas yo bitch fuck anonymous niggas
3,0,1,2,2,bomb selfiemonkey timeline
3,2,1,0,0,like need hoe break suck dick
3,0,3,0,1,yo girl yr potential wanna retard
3,0,3,0,1,ju wanna live good stay fresh fuck bad bitch
3,0,0,3,2,national review call gay marriage lawlessness oregon tcot gop nom lol teabagger
3,0,0,3,2,pm u use word use ex swegpmyidnid date
3,0,3,0,1,handle lol shit hp bitch stick soo know good double shift aha
3,0,3,0,1,say name bitch yes fuck boy
3,0,0,3,2,yankees nine straight hit price night
3,0,3,0,1,rather ultra fag get act go fgcu ze
3,0,1,2,2,take ride woof woof
3,0,3,0,1,fuck need fat bitch skinny bitch be not hungry da mula hahaha
3,0,3,0,1,bitch ask question
3,0,2,1,1,bobby bitch dickhead top bobby shmurda songs hot nigga
3,0,0,3,2,drink last drop washing teapot haiku mijikai
3,0,1,2,2,early bitch drive denton omg move already
3,1,2,0,1,trust tweet like damn fag
3,0,3,0,1,fuck wrong bitch nobody know
3,0,1,2,2,dearfuturehusband idea many brownie point get randomly play hair scratch
3,0,1,2,2,well pee oft yellow
3,0,3,0,1,bitch stop takin shit ooo hate u u dumb bitch
3,0,0,3,2,think time bring drunken monkey
3,0,3,0,1,bitch wtf r u talk tf r u still talk shit action thank prove point pussy boy
3,0,3,0,1,retarded love always retarded sentimental
3,0,1,2,2,teacher always say man ever abuse wife use marijuana unless hide oreo cookie deserve
3,0,3,0,1,hell yuhh hit haha nigga gmula chewee one take chug sniffey
3,1,0,2,2,cair publish hit list jihadis via red blooded american may list
3,0,3,0,1,know picture hoe head good knock wind boy
3,0,3,0,1,got damn man hang tf like bitch
3,0,3,0,1,bitch
3,1,2,0,1,niggas whole hoe cuz could not say well
3,0,3,0,1,wtf dude fucking retarded
3,0,3,0,1,hate shit like bitch think cute clothing violation
6,0,0,6,2,not like tweet belief jesus christ please respect not mock make negative remark
3,0,3,0,1,shut bitch focus l tomar
3,0,3,0,1,go to start unfollowe angry bitch shit mad depressing
3,0,3,0,1,fuck freak hoe tell ya pose homeboy pillow talk fukniccas
3,3,0,0,0,white kid favorite activity call people nigger xbox fuck pet shooting school
3,1,0,2,2,not let crisis go wastedem exploit ebola trash repubs oppose obamas choice surgeon gen
3,0,0,3,2,derek jeter leave baseball one great yankees ever via
3,0,3,0,1,start tell bitch live life get advice gwenyth
3,0,3,0,1,lbs be not thick bitch fucking warthog
6,0,0,6,2,eat brownie go gym idk
3,0,0,3,2,bird messy
3,0,3,0,1,put peoplebitch face
3,0,0,3,2,day february waylon jennings leave we honkytonk sky dream dream ht
3,0,0,3,2,white people need weapon defend subhuman trash sort unleash we
3,0,0,3,2,wtf flappy bird kid
3,0,1,2,2,real reason give rap call trash face n ask
3,0,3,0,1,bitch insomnia shit bed since midnight
3,1,2,0,1,might fuck around fuck yo bitch eat ass steal real ass nigga
3,0,3,0,1,wud nig get to new number text
3,0,3,0,1,lot dumb bitch
3,1,2,0,1,coon n coon wanna b get except time jail
3,0,3,0,1,want pussy bad
3,0,3,0,1,u go talk shit another state dat pussy shit
3,0,0,3,2,vertical nip barsi already horizontal one think look hella cute
3,0,3,0,1,lmao lexy hoe lmfaooo
3,0,1,2,2,yea ho
3,1,2,0,1,talk girl pay sew show u atleast get type boss bitch lol wth
6,0,6,0,1,pop dat lemon real pussy
3,1,2,0,1,not favorite faggot
3,0,0,3,2,republican lt governor missouri say sorry call law angloamerican law racist pig
3,0,0,3,2,woot yankees complete sixth series sweep season fourth home
3,0,1,2,2,kissin small lip trash lol yessssss
3,0,3,0,1,waka tammy got ass beat ctfu niggas not ever bitch back
3,2,1,0,0,well maybe whore stupid ugly homeless bitch
3,0,3,0,1,little genius man need class u help nig cool af man
3,0,3,0,1,fuck opp thot well shoot bitch
3,0,0,3,2,break florida prolife gov rick scott defeats proabortion challenger charlie crist tcot
3,0,2,1,1,bitch make happy material object make bitch happy iphone
3,0,3,0,1,lol haha hahahahahahahahahaahah deez nuts bitch
3,2,1,0,0,bullet nigguh tru jean
3,0,3,0,1,carol go to george lenny bitch
3,0,0,3,2,would life without god seriously probably live trash haha
3,0,3,0,1,hate ya bitch ass
4,0,0,4,2,hgwells charlie chaplin history photography
3,0,3,0,1,bitch
3,0,2,1,1,ayo twat boy get to new phone give yo jack
3,1,2,0,1,cant even fool colored man wit dis bullshit
3,0,3,0,1,amp keep bitch part fashion nigga see see catch traffic
3,0,3,0,1,hv load cushion sol would feel good ur dick
3,0,3,0,1,x ray wonder bitch get two head ahsfreakshow
3,0,3,0,1,freshmanadvice be not hoe get traphouseeeeeeee
3,0,3,0,1,cuz hoe lol cuz go lil rant man
3,0,3,0,1,lmao amp aero sound young af talk bout hoe n weed n shit brah get to listen shit
3,0,3,0,1,stop call bitch crystal voice
3,0,0,3,2,iubb game bloomington btown good ncaa basketball college indiana iu hoosier
3,0,3,0,1,bitch u get fuckke
3,0,0,3,2,favor ball throw trash
3,0,3,0,1,yeah want shoot son bitch lol
3,1,0,2,2,redneck without homophobia racism
3,0,0,3,2,weird see local yokel journalist get work enough take pointed side though thought impartial
3,0,3,0,1,hey turd cutterstop tweet juvenile shit jobidiot teabagger
3,0,3,0,1,karate karrenchi still bird ass bitch
3,1,0,2,2,speak color think love
3,1,2,0,1,lmao hell yea love thick bitch amp thick bitch love fat niggas
3,2,1,0,0,hate hoe ass people
3,0,3,0,1,bitch u thot oh fake ass nigga box hoe u bout nothing
3,1,2,0,1,could not make nigga er bad charger phone rip text ipod ghetto
3,0,3,0,1,cruise go kart walmart sell cupcake go ahead admit faggot shit tight butt rape
3,0,3,0,1,hoe really b bird man new
3,0,3,0,1,use send bitch
3,0,3,0,1,nig
3,0,3,0,1,get good credit bitch credit get to match mine
3,0,3,0,1,not pussy talk friend not seem hard
3,0,3,0,1,yall like want love like rashad amp new new shit already get one lie ass hoe lmao
3,0,0,3,2,can not play flappy bird make angry
6,1,5,0,1,thisty hoe
3,0,0,3,2,see majorleauge charlie sheenand giants commit sin worship barrybond batting coachgt
3,0,3,0,1,bitch inch tall amp normal height jessyca daysi short bitch
3,0,2,1,1,hoe
3,1,2,0,1,faggot bitch
3,0,3,0,1,bitch come town east mall u bitch fuck boy
3,0,3,0,1,lol think right way amp wrong way love someone hoe may love get
3,0,2,1,1,lmao hoe extra sensitive via text swear hear tone every letter start use punctuations
3,1,0,2,2,long redskin change nsme memorabilia wredskind name deemef racist therefore illegal thought
3,1,2,0,1,bitch fuck get mention malzeno
3,0,0,3,2,realize one links awaken kill two bird one stone unless get wind fish
3,0,3,0,1,tony romo topqbs bitch
3,0,3,0,1,woulda coulda shoulda ass hoe
3,0,3,0,1,raise person use gun can not take ass whipping pussy
3,0,3,0,1,nonexistent hoe
3,0,3,0,1,hate shit like bitch not ask shit makin waste time dumb ass be not even use
3,0,0,3,2,answer phone coworker dead bird outside wanna split cw sorry finder keeper ri
6,0,1,5,2,bird ill share lonely view
3,0,3,0,1,aye lot niggas can not fuck bad bitch unless get drunk smh preach
3,0,1,2,2,woof woof hot sol
6,0,0,6,2,afl american draft system bearbrother couple yanks playing list
3,0,0,3,2,shocking true story behind favorite classic fairy tales via
3,0,3,0,1,ai not say wrong stupid hoe show get attention dudesno one big game
3,0,3,0,1,not make take yo bitch nigga
3,0,0,3,2,al qaedas market share drop fast viacom amp enron jihadi stock market
3,0,3,0,1,lmfao not scan anythingthe fat hoe hittin
3,0,3,0,1,shawty wanna charge pussy like whoa turnt cash use fuck free
3,0,3,0,1,get pussy bllod
3,0,0,3,2,weep thurmanmunson die weep year later captain yankees
3,0,3,0,1,fuck dread fire hoe rt watch end
3,0,0,3,2,oriental rug cause flyer dove
3,0,3,0,1,got new job bitch
3,2,1,0,0,one name offensive kike wop kraut wetback jigaboo towelhead gook redskin
3,0,3,0,1,bitch ion talk shit ion even talk even name lol
3,0,0,3,2,pick sc take we nip cr
3,1,2,0,1,u need someone church negrour absolutely right work sundays still excuse
3,0,3,0,1,lmao drose adida light phone shit retard
3,0,3,0,1,watch football pussy soccer wtf
3,0,3,0,1,else teacher constantly bitch pay
3,1,0,2,2,not evolve human typical meathead redneck pity not know freedom
3,0,0,3,2,lilly try climb tree bird completely fail oh god
3,1,2,0,1,dhugga dhugga baby h u g e r kiss nigga bitch perfect cpr
3,2,1,0,0,know kid bet funny love black call eachother ignorant nigger make
3,2,1,0,0,queer gaywad
6,0,6,0,1,fuck hoe hoe
3,1,2,0,1,sure be not color
3,0,3,0,1,vengeful not cunt
3,0,0,3,2,throw bird long pointy beak
3,2,1,0,0,wait wetback sycksyllable
3,0,3,0,1,ai not like guy wine dine keep woman bitch want two thing get high kick
3,0,3,0,1,bitch phone go to die serious get hot pocket
3,0,3,0,1,ask around n street bitch bout jay
3,0,3,0,1,crush get exotic bitch dream
3,1,2,0,1,small man syndrome usually deep huge pussy join authority compensate weak ego
3,1,2,0,1,would joint retard
3,1,2,0,1,bird ass niggas get feather ruffle shake ai not thing half way crook
6,1,5,0,1,lotta fck niggas twitter really talk like bitch
3,0,3,0,1,typical hoe costume cat nurse bunny police officer
3,0,3,0,1,bitch
3,0,3,0,1,bumpin nigga nigga rick ross bmf hoe go harrrrd highh outside enjoy weather
3,0,3,0,1,extra hard hoe
3,0,0,3,2,mom come home taco brownie
3,0,3,0,1,difference nigger niggas tupac og
3,0,2,1,1,blatt trash twitter say good
3,0,3,0,1,bitch lol
3,0,3,0,1,victor amp shawn leg not hurt jigg every damn night
3,0,3,0,1,even shy stfu kikis mom hi angelique angelique smiles dips cracker soup
3,0,0,3,2,baseball w birthday reason lol yankee stadium yelp
3,0,3,0,1,could not help man niggas pussy rob chick shootin
3,0,3,0,1,bring bitch
3,0,0,3,2,get something closely approximate full bird paradise yoga pose time make ragdoll cosplay
3,0,0,3,2,u still mutt tho lol
3,0,0,3,2,think need watch dawn planet ape
3,0,0,3,2,even hate yankees way can not like derek jeter one classy respectful playe
3,0,3,0,1,cry baby back bitch
6,1,5,0,1,be not finna sleep bitch oclock finish noddin meet top
3,0,3,0,1,happy birthday fag
9,0,9,0,1,gang gang bitch
4,1,3,0,1,k michelle pussy smell like shit
3,0,3,0,1,sit hate another bitch get much shit go
3,1,2,0,1,bitch kill yo self
3,0,0,3,2,jay z takeover amp u not know live home amp home concert yankee stadium via
3,0,0,3,2,tomorrow agenda bake brownie amp visit couple open house
3,0,3,0,1,peak war w join texas natl guard get outta nam fact bitch
6,0,6,0,1,back atcha bitch
3,0,3,0,1,single cuz hoe leave good one take lmaoltany female tl thats singleyou snobop
3,0,1,2,2,want cowboy killer
3,1,2,0,1,niggaz ai not never listen slow shit bitch
4,1,1,2,2,oop constitutionalist teabagger mississippi forget ratify centerpiece constitution th amendment ban slavery
3,0,0,3,2,never discuss cheese rat talk bread bird make move snake
3,1,2,0,1,shitty pussy
3,0,3,0,1,god forbid actually vote give people affordable insurance rate bitch teabag
3,0,2,1,1,beautiful bride tell erica congrat remember nig
3,0,3,0,1,say ready bitch okay lmfaoooooooo do
3,1,0,2,2,refresh dhimmi seattle mayor ed murrays poor memory citys long history jihadi breed groundgt h
3,0,3,0,1,hoe ass savage shit bring memory cook g
3,0,0,3,2,strawberry shortcake stacked whip cream yellow spungecake amp slice strawberry freshly pick farm w kid
3,0,3,0,1,check hoe check
3,0,0,3,2,put pan brownie
3,1,2,0,1,like man faggot
3,0,0,3,2,trash cowboy beat redskin twice last year
3,1,2,0,1,try bitch boy
3,2,1,0,0,even real word must hit blunt start make shit nigg ass lol
3,0,0,3,2,brown color eye color
3,0,0,3,2,playoff luckily mean future kid definitely root yanks priority
6,1,5,0,1,psychology bitch period chill tf
3,0,3,0,1,betta ask round street bitch bout jay
4,0,1,3,2,brownie bomb
3,0,3,0,1,even know bitch
3,0,2,1,1,cunt right
3,0,0,3,2,thank follow may fan guy one good broadcaster
3,0,3,0,1,bitch get blood dat hang la
3,1,2,0,1,dat hoe smell like period
3,1,2,0,1,bitch scream fuck nigga get mad another bitch fuck nigga
3,0,3,0,1,go get bitch
3,0,2,1,1,bitch get crew hype still get ass beat tonight bring we
3,0,3,0,1,pull pantie ur tooth write alphabet w ur tongue throbbing pussy
3,1,2,0,1,date wit irene nd bitch stand matter fact stand da whole city thanx fucking cunt irene ur ass grease
3,0,0,3,2,eagle fan not except fact mcoy trash year everybody figure spread offense stopit
3,0,3,0,1,fuck look like ho look like yes ya look like
3,0,3,0,1,yall crazy white bitch want lay wit bowf
3,0,0,3,2,poll florida governor rick scott lead charlie crist five point
3,0,0,3,2,god yankees fan farewellcaptain
3,2,1,0,0,like talk faggot nicely way fag
3,0,3,0,1,buy hummus broccoli need snack shit need buy cracker shit
3,0,3,0,1,say studs fuck tranny will not let bitch strap muhfuckas childish lol
3,0,3,0,1,pornandroidiphoneipadsexxxx hairy hairy pussy
3,0,3,0,1,oh basically bitch day mhmmm course
3,0,2,1,1,damn want buy bitch shit tough
3,2,1,0,0,rather rancho live ghetto ass urban area nigger nigger impersonator adopt ni
3,3,0,0,0,white bitch fuckin nerve call nigga one payin lip get bigga
3,2,1,0,0,people historically call white trash call reason white trash truth hurt
3,0,0,3,2,august trash
3,0,3,0,1,hoe tell go to chop dick baltimore
6,1,5,0,1,get cunt threaten bother happily hit big massive group ae third year something hahaha dropkickkk
6,0,5,1,1,naw see hoe
9,0,9,0,1,viva brazil niggah lol
3,0,3,0,1,tryna say pussy course tryna slam be not pussy duuuuuuu
3,0,0,3,2,post photo yankee stadium
3,1,0,2,2,put redskin start lineup instead dolphinsitll fun say
3,0,3,0,1,basic bitch everywhere
3,1,2,0,1,lol can not sad thing can not control walk stage nigglet ill happy
3,0,0,3,2,yes das def da problemif histeacher spear chucker woulda gt dose rite
3,0,3,0,1,lmao mind well hoe be not mean like girl lol
3,0,0,3,2,nowplaying great white bitten twice shy thearrow
3,0,3,0,1,yeah right pussy
3,0,0,3,2,wexican
3,0,3,0,1,white girl u holla nooooo brotha go ugly bad build hoe ever
3,1,0,2,2,favorite episode friends one black mysteriously vanish unemployed white people find affordable ho
3,0,3,0,1,dick pussy precious give ruin bullshit do
3,0,0,3,2,make way right trash new season new shoes makeyourownway wayofwade
3,0,3,0,1,nice pussy
3,0,3,0,1,gunna let bitch like
3,0,3,0,1,yall little punk ass bitch doe
6,0,6,0,1,give bitch bib since wanna act messy
3,1,0,2,2,e motor tranny triton motor transmission mile come e
3,0,0,3,2,colt mccoy wins hookem still trash
3,0,3,0,1,haha little shit talky bring bitch
3,0,3,0,1,old cunt need die
3,0,3,0,1,boyyyyy bitch pussy taste lil mama spaghetti would b happy bitch
3,0,0,3,2,not really care fighter black white yellow dalmatian good good
3,0,3,0,1,hate girl single single shit lil thottie cuff problem like bitch ill rko ass
3,0,3,0,1,bitch know temporary
3,0,1,2,2,see brownie kitchen counter bit one immediately surge pain spice hit tongue chili flake eff brian
3,1,2,0,1,hate trash bad bitch
3,0,0,3,2,learn japanese political plot assassinate charlie chaplin pleaseoptionthistweetnow back
3,0,3,0,1,early put face pussy bul never early breakfast
3,0,2,1,1,everything look well bitch next
3,0,3,0,1,dis hoe not dis violent lottery ticket
3,1,2,0,1,try log ig like pic bitch not post pic
3,0,3,0,1,lets hangout monday nigs
3,0,0,3,2,yaya ho cute avi tho idea sleep
3,0,3,0,1,fact kanye good good piece pussy fuck
3,0,3,0,1,niggaz well least ugly bitch number phone summer
3,0,2,1,1,ohh mr tough cause live retarded city think cool people like shovel snow break bum
3,1,2,0,1,dis niga da gas station trippin tol bitch bitch dnt wana ride wit niga n caddy on true bitch jus shut fck lol
3,0,3,0,1,bitch u
3,0,1,2,2,huge yankee fanenjoy
3,0,3,0,1,fuck school boring ghetto
3,0,3,0,1,well nip shit bud early
3,0,3,0,1,wiz warrant like bitch
6,5,1,0,0,call radical muslims nigger fitting racist racist anyone hate america
3,1,2,0,1,next could ask grand wizard kkk many intolerant poor soul view cunt tcot frc p foxnew
3,0,2,1,1,look say ll new era girl bye kill bitch w kindness ampamp wht cousin
3,1,2,0,1,honestly enough bad bitch universe everyone include dyke
6,1,5,0,1,not come mf house honking ur damn horn get tf car amp ring bell bitch
3,0,3,0,1,karma bitch
3,0,0,3,2,ff consistently one marvels bad propertie ultimate ff good entire ultimate universe trash
3,0,1,2,2,go dress trash halloween oh wait look like everyday
3,0,0,3,2,bird nest garage bird fly poop car
3,0,0,3,2,glenladen get life flight osu save not mess bird respect
3,0,3,0,1,toto mean ass vaginai think pussy cause toto santi like nasty pussy
3,0,3,0,1,someone beat justin beiber ass little pussy
3,2,1,0,0,none we go prestigious establishment clearly superior fucking retard
3,0,3,0,1,kindly fuck like say weretwice sound like little bitchbitche fuckin stalker
3,0,0,3,2,back cause not wanna see boy lose trash votesos
3,0,3,0,1,can not get pussy without lie girl wack not hate appreciate
3,1,2,0,1,bitch watch ya tone drag recycling bin bitch ass nigga gon end like limewire ol exe ass nigga
3,0,3,0,1,like yo page want make da lovin white girl wit colored man watchin pullin weeni
3,0,1,2,2,scholen waar directie leerkrachten pest kunt u zich voorstellen hoe groot pestproblematiek onder leerlingen wel moet zijn
3,0,0,3,2,instant mash potato trash
3,1,2,0,1,fat hoe need treadmill lol hmu therealwesjamescom
3,0,0,3,2,get bratty attitude brittany bird
3,0,0,3,2,pretty easy actually cashier right eat animal cracker lolol
3,0,3,0,1,bitch follow
4,0,3,1,1,hoe
3,0,0,3,2,generate ascii box nodejs see ability bring flappybird node via ascii tube bird _
9,1,8,0,1,like fat chick need love guess jeffrey dommer type would sloppy ho
3,0,0,3,2,thrill billywith hillbilly heart hahahahaha jesus murphy
3,0,3,0,1,bitch u lame fuk lol
3,0,1,2,2,news democrats antisemitism jewish group condemn vp joe bidens offensive reference shylocks
3,0,3,0,1,bitch middle look like daddy long leg
3,0,3,0,1,be not hoe
3,0,0,3,2,also hiccup jihadi propaganda portray one willing die cause
6,1,5,0,1,kill hoe though
3,2,1,0,0,good job texte back faggot
3,0,3,0,1,bet bitch deaf mc lytes word treat like queen huh
3,0,3,0,1,many time hoe look picture day
3,0,3,0,1,colts nationput money upbitch chuassup
3,0,3,0,1,get mind money need bad bitch ride round city spend cash
3,0,0,3,2,come close game th yankees
3,0,3,0,1,bitch look surprised asf yo mama let drive shit
3,0,3,0,1,mfa not wanna spend dime wit em prolly yell money bitch
3,0,3,0,1,not bitch
3,1,2,0,1,hoe ass nigga lmao
3,0,3,0,1,boat hoe
3,0,3,0,1,hate pull store niggas stare like never see bitch drive car rim system
3,0,3,0,1,honestly not understand man love bash woman make feel good suck dick soooo goood ho _ _
3,0,0,3,2,ever want someone love deeply devotedly charlie kelly love waitress
3,0,3,0,1,shit bitch pussy
3,1,2,0,1,not love hoe
3,0,3,0,1,excited boosie get valentine dayhe get vday pussy allstar weeekend pussy mardi gras
3,0,0,3,2,chinas bird flu outbreak good sign bad sign bad sign
3,0,3,0,1,got lil bitch
3,0,3,0,1,pau piss like boozer piss bulls fan soft faggot
4,0,1,3,2,third party keyboards ios trash
3,0,0,3,2,like find edit facebook comment trend topic twitter think hear abo
3,3,0,0,0,look coon ass nigga stand damn toilet look around manhood
3,0,0,3,2,since derek jeters multihit game vs th among behind gehrigs ruths
3,0,0,3,2,pick president uncle tom association would pick larry elder
3,0,1,2,2,could not press send tweet anchor baby even raw
3,0,3,0,1,bitch crazy
3,0,3,0,1,walk away pussy
3,0,0,3,2,hey hun
3,0,1,2,2,see jig
3,0,0,3,2,color lebanese
3,0,0,3,2,every time friend talk matter subject nip haunt we one nip introduce
6,2,1,3,2,let coon great dream
3,2,1,0,0,mfs still spot yrs ago beef nighas sleep hoe eat restau
3,0,0,3,2,call dark cold damn charlie brown
3,0,3,0,1,also like im call hoe say stop
3,1,2,0,1,get couple thou den get couple shooter fa dat couple thou mane nicca shoot ya
3,2,1,0,0,stfu white trash
3,0,0,3,2,want cookie brownie ice cream
3,0,0,3,2,early bird night owl wise worm
3,2,1,0,0,u see lame pic ofmine due infatuation nigger hebrew fite child satan street
3,0,0,3,2,jamaica populate island hillbilly even linguistic kind sub accent olde english derivative
3,0,3,0,1,cool story bitch pass blunt bitch
3,1,2,0,1,compare kfc pussy
3,0,3,0,1,fuck frank pussy
3,0,3,0,1,damn bitch nasty lol
3,1,2,0,1,one day fucking school god nansemond fuck retarded
3,1,2,0,1,yea look faglike
3,2,1,0,0,delete bitch ass nigga redskins beat we delete fucking ig
6,0,6,0,1,different dude every week might hoe jsno not listen lady dou
3,0,3,0,1,not understand bitch
3,1,0,2,2,experience charlie married woman love hot phone sex stranger get
3,0,3,0,1,ill say ya woman want couch plain sight outchea bitch simple
3,0,3,0,1,elissa fake cunt
3,0,3,0,1,nicca be not shit day
3,0,0,3,2,four hor back iphone haha joke
6,0,6,0,1,boy say last night ill gym bc refuse sloppy like bad build bitch lol
3,0,3,0,1,pussy
3,2,1,0,0,fucking christ hate tutor ta literally get pay teach retard stop pick nose get fuck outta face
6,0,6,0,1,wrong lmao bitch literally try swallow someone movie
3,0,3,0,1,every bitch claim
3,0,0,3,2,yo totally understand twin peaks yo can not seem follow great outdoors goldfish cracker
6,0,6,0,1,kno opposite bitch
4,1,3,0,1,k bitch niggas
3,0,2,1,1,kobe stay talk trash let forget mean one smh
6,0,2,4,2,look like wear trash bag
3,1,2,0,1,linda rn retard
3,0,0,3,2,prefer zebra visually not know less cost
6,0,6,0,1,bitch go nawl
3,0,0,3,2,la mquina una vez en japn japonese crearon una mquina que atrapaba ladrone primero la mquina la
3,0,3,0,1,suppose eat yo booty bitch wym
3,0,0,3,2,lmaoo abo crusty hand
3,0,3,0,1,thank prove bitch ass wrong tonight
3,0,1,2,2,bluesapphireearring kyellowgoldclipondiamond alexandra earrings emerald crystal emma
3,0,3,0,1,newsatquestion yeah bitch yeah bitch call _ _ _ _ _ _ _ maybe b steveo c later jesse pinkman
3,0,1,2,2,ghetto girl try read class pt lmaooo
3,0,0,3,2,pay hold monkey look monkey real af
3,0,3,0,1,teabagger babel fuck masturbate hate gay r successful
3,0,0,3,2,intend get pic not time must mud raceevent weekend like redneck convoy
3,0,3,0,1,h fake bitch
3,1,2,0,1,wonder girl give head boy drink magaluf twitter probly send nude fag
3,1,2,0,1,fact female tweet dayum day r hoe need attention ijs wontgetme
3,0,0,3,2,cheer dude might nip town theeditors vinyl musicmatters
3,0,1,2,2,ha booner twitter ha
3,2,1,0,0,goldbar dumb bitch dad would not pick not like faggot like
3,0,3,0,1,pornandroidiphoneipadsexxxx facial blonde tranny whore get ram facialize
3,0,1,2,2,raid nickis wig closet summer bad gal wanna fun bitch nerve smh
3,0,2,1,1,funnie watch nig interview espn
6,0,6,0,1,curve yo bitch welcome
3,0,3,0,1,nowplaye witcha bitch pussy pussy inda hood ona sofawit plastic
3,0,3,0,1,niggas want good girl still wanna fuck hoe be not go work get to pick one boy stfu
3,0,3,0,1,bitch
3,0,3,0,1,bitch ass scare lol not keep new one yet
3,0,0,3,2,yall go to trash spirit airline travel w time even let fly plane time not mi
3,0,2,1,1,sheet can not cripple
3,2,1,0,0,smh hate hoe
3,0,2,1,1,chippah hope be not hangin wit dis wigger boy
3,0,3,0,1,nigel not think know dumb smart shut bitch ass
3,2,1,0,0,faggot fuckhead
3,0,0,3,2,nobody judge bird account would not even cause ripple ocean
3,0,3,0,1,know twitter password bitch please
3,0,3,0,1,cuz not wanna b save save hoe bad
3,0,3,0,1,fill pimp hoe well talk know
3,0,3,0,1,niggas pussiescameltoe
3,0,1,2,2,dej loaf trash pure trash
3,0,3,0,1,call kidd pussy something
3,0,3,0,1,good familyin gym look hoe hit u later
3,0,3,0,1,bitch
3,0,0,3,2,nbc news project charlie baker r win massachusetts governor
3,0,3,0,1,wussup bitch
3,0,0,3,2,good jeter hero yankees sendoff via
3,0,1,2,2,since know wonder cracker barrel place buy barrel full cracker
3,0,1,2,2,ghetto super duper current generation good complement
3,2,1,0,0,omg ugly faggot bad mother kill like robin williams
3,0,0,3,2,steeler lose superbowl load black yellow gmix mom computer think youtube page still open
3,0,3,0,1,druggys hoe get to dop video ever
3,0,3,0,1,nappy head hoe can not call anyone ugly stop embarrass pls
6,0,6,0,1,bitch
3,3,0,0,0,sweet comeback u fuckin herb dnt watch soccer still wax bitch ass go swallow red soxs kid ur nyc fag
